Date,Open,High,Low,Close,Adj Close,Volume
2017-11-20,4.880000,5.350000,4.870000,5.320000,5.103992,20005188
2017-11-21,5.310000,5.380000,5.210000,5.350000,5.132774,4588736
2017-11-22,5.370000,5.450000,5.290000,5.370000,5.151961,1466057
2017-11-23,5.420000,5.490000,5.300000,5.420000,5.199932,852620
2017-11-24,5.500000,5.670000,5.400000,5.400000,5.180744,762941
2017-11-27,5.440000,5.530000,5.250000,5.250000,5.036834,742560
2017-11-28,5.290000,5.340000,5.190000,5.270000,5.056023,401382
2017-11-29,5.300000,5.350000,5.240000,5.300000,5.084804,449639
2017-11-30,5.320000,5.380000,5.300000,5.330000,5.113586,1208267
2017-12-01,5.340000,5.370000,5.210000,5.330000,5.113586,585501
2017-12-04,5.330000,5.530000,5.310000,5.390000,5.171149,410953
2017-12-05,5.350000,5.440000,5.350000,5.390000,5.171149,314942
2017-12-06,5.390000,5.500000,5.370000,5.490000,5.267089,558846
2017-12-07,5.520000,5.700000,5.470000,5.700000,5.468562,167162
2017-12-08,5.640000,5.700000,5.525000,5.570000,5.343842,119278
2017-12-11,5.550000,5.610000,5.500000,5.580000,5.353434,257396
2017-12-12,5.600000,5.750000,5.500000,5.690000,5.458969,520724
2017-12-13,5.650000,5.950000,5.650000,5.850000,5.612473,284312
2017-12-14,5.900000,6.090000,5.850000,6.030000,5.785163,1179808
2017-12-15,6.090000,6.270000,6.020000,6.200000,5.948261,434628
2017-12-18,6.390000,6.550000,6.200000,6.210000,5.957855,397796
2017-12-19,6.250000,6.410000,6.250000,6.350000,6.092171,42778
2017-12-20,6.330000,6.400000,6.300000,6.400000,6.140141,301284
2017-12-21,6.320000,6.440000,6.310000,6.440000,6.178517,171728
2017-12-22,6.420000,6.940000,6.420000,6.670000,6.399178,100878
2017-12-27,6.910000,7.100000,6.850000,7.100000,6.811719,115090
2017-12-28,7.220000,7.400000,7.210000,7.350000,7.051568,462155
2017-12-29,7.350000,7.430000,7.250000,7.280000,6.984410,107538
2018-01-02,7.320000,7.330000,6.500000,6.890000,6.610246,164081
2018-01-03,6.890000,6.890000,6.550000,6.600000,6.332020,183178
2018-01-04,6.550000,6.550000,6.280000,6.330000,6.072983,237655
2018-01-05,6.320000,6.320000,6.020000,6.020000,5.775570,197085
2018-01-08,6.140000,6.140000,5.895000,5.950000,5.708412,351119
2018-01-09,5.950000,6.260000,5.900000,6.190000,5.938667,114414
2018-01-10,6.210000,6.420000,6.210000,6.300000,6.044201,215485
2018-01-11,6.300000,6.390000,6.170000,6.240000,5.986637,756524
2018-01-12,6.390000,6.450000,6.240000,6.300000,6.044201,40471
2018-01-15,6.300000,6.300000,6.070000,6.160000,5.909885,59699
2018-01-16,6.150000,6.300000,6.070000,6.200000,5.948261,132595
2018-01-17,6.200000,6.200000,6.080000,6.110000,5.861916,134602
2018-01-18,6.160000,6.550000,6.160000,6.500000,6.236080,1845753
2018-01-19,6.500000,6.530000,6.240000,6.420000,6.159329,119548
2018-01-22,6.460000,6.640000,6.350000,6.500000,6.236080,700750
2018-01-23,6.480000,6.560000,6.350000,6.500000,6.236080,156384
2018-01-24,6.500000,6.610000,6.500000,6.530000,6.264863,145254
2018-01-25,6.490000,6.490000,6.310000,6.400000,6.140141,243738
2018-01-29,6.400000,6.400000,6.090000,6.200000,5.948261,98575
2018-01-30,6.200000,6.270000,6.150000,6.210000,5.957855,97198
2018-01-31,5.800000,6.200000,5.610000,6.200000,5.948261,883310
2018-02-01,6.210000,6.520000,6.200000,6.340000,6.082577,309429
2018-02-02,6.300000,6.400000,6.210000,6.290000,6.034607,811619
2018-02-05,6.000000,6.370000,6.000000,6.090000,5.842728,353802
2018-02-06,5.880000,6.090000,5.660000,5.900000,5.660442,424066
2018-02-07,6.010000,6.220000,5.990000,6.050000,5.804352,389436
2018-02-08,6.100000,6.170000,5.970000,6.000000,5.756382,117981
2018-02-09,5.820000,5.970000,5.810000,5.900000,5.660442,147176
2018-02-12,5.880000,5.940000,5.810000,5.900000,5.660442,124799
2018-02-13,5.900000,6.095000,5.900000,6.000000,5.756382,109910
2018-02-14,6.000000,6.050000,5.960000,5.990000,5.746788,80027
2018-02-15,6.000000,6.100000,5.980000,6.080000,5.833134,96835
2018-02-16,6.080000,6.340000,6.030000,6.190000,5.938667,174725
2018-02-19,6.100000,6.190000,5.980000,6.040000,5.794757,177992
2018-02-20,6.100000,6.240000,6.100000,6.160000,5.909885,126377
2018-02-21,6.160000,6.390000,6.160000,6.250000,5.996232,103221
2018-02-22,6.280000,6.500000,6.220000,6.420000,6.159329,128111
2018-02-23,6.400000,6.680000,6.330000,6.670000,6.399178,215947
2018-02-26,6.720000,6.760000,6.610000,6.700000,6.427960,263920
2018-02-27,6.830000,7.000000,6.650000,6.840000,6.562275,506633
2018-02-28,6.850000,6.850000,6.510000,6.600000,6.332020,222382
2018-03-01,6.610000,6.610000,6.370000,6.590000,6.322427,291273
2018-03-02,6.650000,6.800000,6.440000,6.700000,6.427960,239965
2018-03-05,6.720000,6.900000,6.630000,6.700000,6.427960,146377
2018-03-06,6.840000,6.870000,6.750000,6.830000,6.552681,93574
2018-03-07,6.890000,6.950000,6.800000,6.950000,6.667809,130288
2018-03-08,6.950000,6.970000,6.875000,6.960000,6.677403,29732
2018-03-09,6.980000,7.400000,6.960000,7.250000,6.955628,848677
2018-03-12,7.300000,7.390000,7.210000,7.250000,6.955628,191264
2018-03-13,7.250000,7.250000,7.110000,7.160000,6.869282,302798
2018-03-14,7.100000,7.190000,6.790000,6.960000,6.677403,228006
2018-03-15,7.030000,7.100000,6.830000,7.040000,6.754155,366999
2018-03-16,6.950000,7.020000,6.560000,6.660000,6.389584,1334404
2018-03-19,6.870000,7.070000,6.750000,7.000000,6.715779,106281
2018-03-20,6.990000,6.990000,6.850000,6.880000,6.600651,38690
2018-03-21,6.960000,6.960000,6.680000,6.850000,6.571869,132400
2018-03-22,6.810000,6.840000,6.620000,6.710000,6.437553,61249
